ques,option1,option2,option3,option4,ans,answer
Q1. I  .....  tennis every Sunday morning.,playing,play,am playing,am play,play,1
Q2. Don't make so much noise. Noriko  .....  to study for her ESL test!,try,tries,tried,is trying,is trying,3
Q3. Jun-Sik  .....  his teeth before breakfast every morning.,will cleaned,is cleaning,cleans,clean,cleans,2
"Q4. Sorry, she can't come to the phone. She  .....  a bath!",is having,having,have,has,is having,0
Q5. .....  many times every winter in Frankfurt.,It snows,It snowed,It is snowing,It is snow,It snows,0
Q6. How many students in your class  .....  from Korea?,comes,come,came,are coming,come,1
"Q7. Weather report: ""It's seven o'clock in Frankfurt and  .....  .""",there is snow,it`s snowing,it snows,it snowed,it`s snowing,1
Q8. Babies  .....  when they are hungry.,cry,cries,cried,are crying,cry,0
"Q9. Jane: ""What  .....  in the evenings?""Mary: ""Usually I watch TV or read a book.""",you doing,you do,do you do,are you doing,do you do,2
"Q10. Jane: ""What  .....  ?""    Mary: ""I'm trying to fix my calculator.""",you doing,you do,do you do,are you doing,are you doing,3
"Q11. Jane  .....  her blue jeans today, but usually she wears a skirt or a dress.",wears,wearing,wear,is wearing,is wearing,3
Q12. I think I  .....  a new calculator. This one does not work properly any more.,needs,needed,need,am needing,need,2
"Q13. Sorry, you can't borrow my pencil. I  .....  it myself.",was using,using,use,am using,am using,3
"Q14. At a school dance: Jane: "" .....  yourself?"" Mary: ""Yes, I'm having a great time!""",You enjoying,Enjoy you,Do you enjoy,Are you enjoying,Are you enjoying,3
Q15. I've just finished reading a story called Dangerous Game. It's about a man who  .....  his wife because he doesn't want to lose her.,kills,killed,kill,is killing,kills,0
Q16. What time  .....,the train leaves?,leaves the train?,is the train leaving?,does the train leave?,does the train leave?,3
"Q17. Jane: ""Are you going to the dance on Friday?""  Mary: ""No, I'm not. I  .....  school dances; they're loud, hot and crowded!""",not enjoy,don`t enjoy,doesn`t enjoy,am not enjoying,don`t enjoy,1
Q18. I  .....  for my pen. Have you seen it?,will look,looking,look,am looking,am looking,3
Q19. You can keep my iPod if you like. I  .....  it any more.,don`t use,doesn`t use,didn`t use,am not using,don`t use,0
"Q20. The phone ...... Can you answer it, please?",rings,ring,rang,is ringing,is ringing,3
Q1. You'd better go to bed early tonight. The plane  .....  at 6 o'clock tomorrow morning so we'll have to be up by 4.30!,will leave,leaves,leave,is leaving,leaves,1
Q2. My father  .....  too much!,smoking,smokes,smoke,is smoking,smokes,1
Q3. You should see the new Brad Pitt film. He plays the part of a cowboy who  .....  up a lawless town.,is cleaning,cleans,cleaned,clean,cleans,1
Q4. Woo-Jin and I  .....  basketball after school today. Do you want to play too?,played,play,is playing,are playing,are playing,3
Q5. Oil  .....  on water.,is floating,floats,floating,float,floats,1
Q6. Why  .....  ? You should be listening to me!,you talk,you are talking,do you talk,are you talking,are you talking,3
"Q7. What  .....  next weekend, Yoshi?",you doing,you do,do you do,are you doing,are you doing,3
"Q8. Jane:  Do you play the piano?    Mary: No, I  .....  any musical instrument!",isn`t playing,don`t play,doesn`t play,am not playing,don`t play,1
Q9. Money  .....  on trees!,isn`t growing,don`t grow,doesn`t grow,didn`t grow,doesn`t grow,2
Q10. You  .....  into things and breaking them. How can anyone be so clumsy?,are always bumping,always bumps,always bumping,always bump,are always bumping,0
"Q11. ""What  .....  about the plan to shorten the school holidays?""",you think,will you think,do you think,are you thinking,do you think,2
"Q12. Jane: ""What  .....  about?""  Mary: ""My summer holidays! I wish I was still lying on the beach.""",you thinking,does he think,do you think,are you thinking,are you thinking,3
Q13. My father  .....  me to school this week because we had an accident and our car is being repaired.,isn`t driving,hadn`t driven,don`t drive,doesn`t drive,isn`t driving,0
Q14. A new hotel  .....  in the centre of town.,is built,is building,is being built,built,is being built,2
Q1. I  .....  to bed very late last night.,went,was going,have gone,go,went,0
Q2. I  .....  tennis yesterday.,will play,played,play,have played,played,1
Q3. My brother is an author. He  .....  many books.,wrote,write,is writing,has written,has written,3
"Q4. My brother, who died last year, was an author. He  .....  many books.",wrote,writes,was writing,has written,wrote,0
Q5. I  .....  to New York last Christmas.,have flown,fly,flew,am flowing,flew,2
Q6. My grandparents live in the USA so I  .....  to New York many times.,have flown,flies,flew,am flying,have flown,0
Q7. I  .....  tennis three times already this week and it's still only Wednesday.,was playing,played,play,have played,have played,3
"Q8. Student to the teacher: "" ..... ! What shall I do now?""",I`ve finished,I finished,I am finishing,I am finish,I`ve finished,0
Q9. I  .....  to bed very late last night.,went,was going,have gone,go,went,0
Q10. This tree  .....  really fast. Last year it was only half this size.,will grow,has grown,grows,grew,has grown,1
Q11. I  .....  to the theater many times when I lived in London.,went,was going,have went,have gone,went,0
Q12. Where's my calculator? I put it on the desk a minute ago and now  ..... !,it`s disappearing,it`s disappeared,it disappears,it disappeared,it`s disappeared,1
"Q13. My father  .....  in a bank for 10 years, then he became a computer programmer.",works,worked,was working,has worked,worked,1
Q14. My father  .....  at his bank for 10 years. He really likes his job.,worked,was working,is working,has worked,has worked,3
"Q15. My grandfather died 10 years before I was born, so I  .....  him.",was not meeting,meet not,have not met,did not meet,did not meet,3
Q16. I'm very hungry. It's 11.30 and I  .....  anything yet today.,haven`t eaten,don`t eat,didn`t eat,am not eating,haven`t eaten,0
Q17. .....  the football match on TV last night?,Were you seeing,Have you seen,Do you see,Did you see,Did you see,3
"Q18. Last week was very wet, but it  .....  once yet this week.",isn`t raining,haven`t rained,hasn`t rained,didn`t rain,hasn`t rained,2
Q19. .....  a new computer. Do you want to see it?,I`ve bought,I was buying,I buy,I bought,I`ve bought,0
Q20. .....  my dictionary. Have you seen it?,I`ve lost,I`m lost,I lost,I lose,I`ve lost,0
