ques,options,ans
Albert Einstein was ___ famous scientist.,"a. a,b. an,c. the,d. X [Nothing]",a
Einstein was born in ___ Germany in 1879.,"a. a,b. an,c. the,d. X [Nothing]",d
Einstein won ___ Nobel Prize in Physics in 1921.,"a. a,b. an,c. the,d. X [Nothing]",c
Einstein left his country and lived in ___ States until he died in 1955.,"a. a,b. an,c. the,d. X [Nothing]",c
Einstein is known for his theory of ___ relativity.,"a. a,b. an,c. the,d. X [Nothing]",d
"Roentgen was ___ German physicist who discovered x-rays, revolutionizing medical diagnosis. ","a. a,b. an,c. the,d. X [Nothing]",a
Roentgen won ___ 1901 Nobel Prize.,"a. a,b. an,c. the,d. X [Nothing]",a
Mandela was born in ___ South Africa.,"a. a,b. an,c. the,d. X [Nothing]",d
"Mandela was ___ first President elected in ___ South Africa after
___ Apartheid was revoked. ","a. a / the / the,b. the / X / X,c. a / X / the,d. the / the / the",b
Mandela was imprisoned for ___ nearly 30 years for his anti-apartheid activities.,"a. a,b. an,c. the,d. X [Nothing]",d
Mother Teresa was ___ Roman Catholic nun.,"a. a,b. an,c. the,d. X [Nothing]",a
Mother Teresa became famous for her hard work with ___ poor.,"a. a,b. an,c. the,d. X [Nothing]",c
"She was ___ founder of ___ order of nuns called the Missionaries of
Charity.","a. a / an,b. a / X,c. the / X [Nothing],d. the / an",d
"Mother Teresa lived in ___ Calcutta, India.","a. a,b. an,c. the,d. X [Nothing]",d
Mother Teresa received ___ her Nobel Peace Prize in 1979.,"a. a,b. an,c. the,d. X [Nothing]",d
